full_text,clean_text,tokens,stopword,remove_slang,stemming,stemming_sentence,translated_en,sentiment,polarity_score,label
Lebih KOLONIAL mana ⁉️ atau lebih ROMUSHA mana ⁉️ Dosen dg pendidikan S2 setara dg Asisten Ahli. AA memiliki pangkat Penata Muda atau golongan IIIa dan IIIb dg gaji Rp2.785.700 - nol tahun masa kerja .. gmn gak main tagar #KaburAjaDulu Rincian tunjangan dosen berdasarkan Perpres https://t.co/PwbMsMP1Ms,lebih kolonial mana atau lebih romusha mana dosen dg pendidikan s setara dg asisten ahli aa memiliki pangkat penata muda atau golongan iiia dan iiib dg gaji rp nol tahun masa kerja gmn gak main tagar kaburajadulu rincian tunjangan dosen berdasarkan perpres,"['lebih', 'kolonial', 'mana', 'atau', 'lebih', 'romusha', 'mana', 'dosen', 'dg', 'pendidikan', 's', 'setara', 'dg', 'asisten', 'ahli', 'aa', 'memiliki', 'pangkat', 'penata', 'muda', 'atau', 'golongan', 'iiia', 'dan', 'iiib', 'dg', 'gaji', 'rp', 'nol', 'tahun', 'masa', 'kerja', 'gmn', 'gak', 'main', 'tagar', 'kaburajadulu', 'rincian', 'tunjangan', 'dosen', 'berdasarkan', 'perpres']","['kolonial', 'romusha', 'dosen', 'dg', 'pendidikan', 'setara', 'dg', 'asisten', 'ahli', 'aa', 'memiliki', 'pangkat', 'penata', 'muda', 'golongan', 'iiia', 'iiib', 'dg', 'gaji', 'rp', 'nol', 'tahun', 'gmn', 'main', 'tagar', 'kaburajadulu', 'rincian', 'tunjangan', 'dosen', 'berdasarkan', 'perpres']","['kolonial', 'romusha', 'dosen', 'pendidikan', 'setara', 'asisten', 'ahli', 'aa', 'memiliki', 'pangkat', 'penata', 'muda', 'golongan', 'iiia', 'iiib', 'gaji', 'rp', 'nol', 'tahun', 'main', 'tagar', 'kaburajadulu', 'rincian', 'tunjangan', 'dosen', 'berdasarkan', 'perpres']","['kolonial', 'romusha', 'dosen', 'didik', 'tara', 'asisten', 'ahli', 'aa', 'milik', 'pangkat', 'tata', 'muda', 'golong', 'iiia', 'iiib', 'gaji', 'rp', 'nol', 'tahun', 'main', 'tagar', 'kaburajadulu', 'rincian', 'tunjang', 'dosen', 'dasar', 'pres']",kolonial romusha dosen didik tara asisten ahli aa milik pangkat tata muda golong iiia iiib gaji rp nol tahun main tagar kaburajadulu rincian tunjang dosen dasar pres,colonial romusha lecturer didik tara assistant aa aa owned by the rank of youth golong iiia iiib salary rp,negatif,-0.8,0
kayanya seru deh klo kita ga dateng ga isi ppt #/kaburajadulu @rejigeum https://t.co/rEHiPsmb8g,kayanya seru deh klo kita ga dateng ga isi ppt kaburajadulu,"['kayanya', 'seru', 'deh', 'klo', 'kita', 'ga', 'dateng', 'ga', 'isi', 'ppt', 'kaburajadulu']","['kayanya', 'seru', 'klo', 'dateng', 'isi', 'ppt', 'kaburajadulu']","['kayanya', 'seru', 'isi', 'ppt', 'kaburajadulu']","['kaya', 'seru', 'isi', 'ppt', 'kaburajadulu']",kaya seru isi ppt kaburajadulu,rich exciting contents ppt kaburajadulu,positif,0.3375,2
Barang nan kecil ini bisa konekkin hatiku ke hati kamu gk?? . . . Serius nanya!!! . . Selamat pagi Semuaaaanyaaa (kecuali WNI yg udah #kaburajadulu tapi gk ajak2!) https://t.co/lnLHfkpdG4,barang nan kecil ini bisa konekkin hatiku ke hati kamu gk serius nanya selamat pagi semuaaaanyaaa kecuali wni yg udah kaburajadulu tapi gk ajak,"['barang', 'nan', 'kecil', 'ini', 'bisa', 'konekkin', 'hatiku', 'ke', 'hati', 'kamu', 'gk', 'serius', 'nanya', 'selamat', 'pagi', 'semuaaaanyaaa', 'kecuali', 'wni', 'yg', 'udah', 'kaburajadulu', 'tapi', 'gk', 'ajak']","['barang', 'nan', 'konekkin', 'hatiku', 'hati', 'gk', 'serius', 'nanya', 'selamat', 'pagi', 'semuaaaanyaaa', 'kecuali', 'wni', 'yg', 'kaburajadulu', 'gk', 'ajak']","['barang', 'nan', 'konekkin', 'hatiku', 'hati', 'serius', 'selamat', 'pagi', 'semuaaaanyaaa', 'kecuali', 'wni', 'kaburajadulu', 'ajak']","['barang', 'nan', 'konekkin', 'hati', 'hati', 'serius', 'selamat', 'pagi', 'semuaaaanyaaa', 'kecuali', 'wni', 'kaburajadulu', 'ajak']",barang nan konekkin hati hati serius selamat pagi semuaaaanyaaa kecuali wni kaburajadulu ajak,the item nan connected carefully be a serious morning everyone,negatif,-0.3333333333333333,0
Top loser minggu lalu ada yang terperangkap? #RONY #OBAT #AIMS #INKP #TOBA #pasarmodal #infosaham #idx #sahampemula #kaburajadulu #investasi #saham https://t.co/7MnvEh5lUF,top loser minggu lalu ada yang terperangkap rony obat aims inkp toba pasarmodal infosaham idx sahampemula kaburajadulu investasi saham,"['top', 'loser', 'minggu', 'lalu', 'ada', 'yang', 'terperangkap', 'rony', 'obat', 'aims', 'inkp', 'toba', 'pasarmodal', 'infosaham', 'idx', 'sahampemula', 'kaburajadulu', 'investasi', 'saham']","['top', 'loser', 'minggu', 'terperangkap', 'rony', 'obat', 'aims', 'inkp', 'toba', 'pasarmodal', 'infosaham', 'idx', 'sahampemula', 'kaburajadulu', 'investasi', 'saham']","['top', 'loser', 'minggu', 'terperangkap', 'rony', 'obat', 'aims', 'inkp', 'toba', 'pasarmodal', 'infosaham', 'idx', 'sahampemula', 'kaburajadulu', 'investasi', 'saham']","['top', 'loser', 'minggu', 'perangkap', 'rony', 'obat', 'aims', 'inkp', 'toba', 'pasarmodal', 'infosaham', 'idx', 'sahampemula', 'kaburajadulu', 'investasi', 'saham']",top loser minggu perangkap rony obat aims inkp toba pasarmodal infosaham idx sahampemula kaburajadulu investasi saham,top loser week trap rony drugs aims inkp toba pasarmodal infosaham idx sahampemula kaburajadulu investment stock,positif,0.5,2
Ibukku mendukung #KaburAjaDulu ? https://t.co/VQYSByxePW,ibukku mendukung kaburajadulu,"['ibukku', 'mendukung', 'kaburajadulu']","['ibukku', 'mendukung', 'kaburajadulu']","['ibukku', 'mendukung', 'kaburajadulu']","['ibukku', 'dukung', 'kaburajadulu']",ibukku dukung kaburajadulu,my mom is supporting kaburajadulu,positif,0.25,2
#KaburAjaDulu Bung Sandiaga Sudah Lebih Dulu Kabur #LebihduluKabur Pulang Masih Tetap Berjiwa Nasionalis Gak Perlu Warga Negara Berkasta Sukses Menciptakan Lapangan Keja Hampir 30 Ribu Pekerja. Gak cuma OMON - OMON .. 🇮🇩 https://t.co/vPlCzusagH,kaburajadulu bung sandiaga sudah lebih dulu kabur lebihdulukabur pulang masih tetap berjiwa nasionalis gak perlu warga negara berkasta sukses menciptakan lapangan keja hampir ribu pekerja gak cuma omon omon,"['kaburajadulu', 'bung', 'sandiaga', 'sudah', 'lebih', 'dulu', 'kabur', 'lebihdulukabur', 'pulang', 'masih', 'tetap', 'berjiwa', 'nasionalis', 'gak', 'perlu', 'warga', 'negara', 'berkasta', 'sukses', 'menciptakan', 'lapangan', 'keja', 'hampir', 'ribu', 'pekerja', 'gak', 'cuma', 'omon', 'omon']","['kaburajadulu', 'sandiaga', 'kabur', 'lebihdulukabur', 'pulang', 'berjiwa', 'nasionalis', 'warga', 'negara', 'berkasta', 'sukses', 'menciptakan', 'lapangan', 'keja', 'ribu', 'pekerja', 'omon', 'omon']","['kaburajadulu', 'sandiaga', 'kabur', 'lebihdulukabur', 'pulang', 'berjiwa', 'nasionalis', 'warga', 'negara', 'berkasta', 'sukses', 'menciptakan', 'lapangan', 'keja', 'ribu', 'pekerja', 'omon', 'omon']","['kaburajadulu', 'sandiaga', 'kabur', 'lebihdulukabur', 'pulang', 'jiwa', 'nasionalis', 'warga', 'negara', 'kasta', 'sukses', 'cipta', 'lapang', 'keja', 'ribu', 'kerja', 'omon', 'omon']",kaburajadulu sandiaga kabur lebihdulukabur pulang jiwa nasionalis warga negara kasta sukses cipta lapang keja ribu kerja omon omon,kaburajadulu sandiaga raise more dululukabur home the nationalist soul of citizens caste successful creative fields,positif,0.5833333333333334,2
lucu bgt dapet pap dari yg lagi #KaburAjaDulu https://t.co/x9OwIqsK46,lucu bgt dapet pap dari yg lagi kaburajadulu,"['lucu', 'bgt', 'dapet', 'pap', 'dari', 'yg', 'lagi', 'kaburajadulu']","['lucu', 'bgt', 'dapet', 'pap', 'yg', 'kaburajadulu']","['lucu', 'pap', 'kaburajadulu']","['lucu', 'pap', 'kaburajadulu']",lucu pap kaburajadulu,funny pap kaburajadulu,positif,0.25,2
Cationers pengen #KaburAjaDulu tapi masih bingung mau kemana? Swiss bisa jadi opsi terbaik buat kamu lewat 5 beasiswa ini #Hellocation #HellocationID #Cationers #BeasiswaSwiss #StudyinSwiss #StudyAbroad #SwissTravel https://t.co/HC1bRr7L63,cationers pengen kaburajadulu tapi masih bingung mau kemana swiss bisa jadi opsi terbaik buat kamu lewat beasiswa ini hellocation hellocationid cationers beasiswaswiss studyinswiss studyabroad swisstravel,"['cationers', 'pengen', 'kaburajadulu', 'tapi', 'masih', 'bingung', 'mau', 'kemana', 'swiss', 'bisa', 'jadi', 'opsi', 'terbaik', 'buat', 'kamu', 'lewat', 'beasiswa', 'ini', 'hellocation', 'hellocationid', 'cationers', 'beasiswaswiss', 'studyinswiss', 'studyabroad', 'swisstravel']","['cationers', 'pengen', 'kaburajadulu', 'bingung', 'kemana', 'swiss', 'opsi', 'terbaik', 'beasiswa', 'hellocation', 'hellocationid', 'cationers', 'beasiswaswiss', 'studyinswiss', 'studyabroad', 'swisstravel']","['cationers', 'kaburajadulu', 'bingung', 'kemana', 'swiss', 'opsi', 'terbaik', 'beasiswa', 'hellocation', 'hellocationid', 'cationers', 'beasiswaswiss', 'studyinswiss', 'studyabroad', 'swisstravel']","['cationers', 'kaburajadulu', 'bingung', 'mana', 'swiss', 'opsi', 'baik', 'beasiswa', 'hellocation', 'hellocationid', 'cationers', 'beasiswaswiss', 'studyinswiss', 'studyabroad', 'swisstravel']",cationers kaburajadulu bingung mana swiss opsi baik beasiswa hellocation hellocationid cationers beasiswaswiss studyinswiss studyabroad swisstravel,cationers kaburajadulu confused where swiss option good hellocation hellocationid scholarship cationerswaswiss studyinswiss studyabroad swisstravel,positif,0.1499999999999999,2
Tapi w tetep support #KaburAjaDulu https://t.co/KeMJT26TSZ,tapi w tetep support kaburajadulu,"['tapi', 'w', 'tetep', 'support', 'kaburajadulu']","['tetep', 'support', 'kaburajadulu']","['support', 'kaburajadulu']","['support', 'kaburajadulu']",support kaburajadulu,support kaburajadulu,netral,0.0,1
Ini Poppo siroyo atau Poppo Joayo ? #KaburAjaDulu https://t.co/RUg4jX6JyN,ini poppo siroyo atau poppo joayo kaburajadulu,"['ini', 'poppo', 'siroyo', 'atau', 'poppo', 'joayo', 'kaburajadulu']","['poppo', 'siroyo', 'poppo', 'joayo', 'kaburajadulu']","['poppo', 'siroyo', 'poppo', 'joayo', 'kaburajadulu']","['poppo', 'siroyo', 'poppo', 'joayo', 'kaburajadulu']",poppo siroyo poppo joayo kaburajadulu,poppo siroyo popo joayo kaburajadulu,netral,0.0,1
2010-2025 The end of my merantau era Ke Bandung aku kan kembali pulang Buat yang mau #KaburAjaDulu saya dukung sepenuh hati. Ayo liat dunia lebih luas lagi. https://t.co/q8CRyF75QM,the end of my merantau era ke bandung aku kan kembali pulang buat yang mau kaburajadulu saya dukung sepenuh hati ayo liat dunia lebih luas lagi,"['the', 'end', 'of', 'my', 'merantau', 'era', 'ke', 'bandung', 'aku', 'kan', 'kembali', 'pulang', 'buat', 'yang', 'mau', 'kaburajadulu', 'saya', 'dukung', 'sepenuh', 'hati', 'ayo', 'liat', 'dunia', 'lebih', 'luas', 'lagi']","['the', 'end', 'of', 'merantau', 'era', 'bandung', 'pulang', 'kaburajadulu', 'dukung', 'sepenuh', 'hati', 'ayo', 'liat', 'dunia', 'luas']","['the', 'end', 'of', 'merantau', 'era', 'bandung', 'pulang', 'kaburajadulu', 'dukung', 'sepenuh', 'hati', 'ayo', 'dunia', 'luas']","['the', 'end', 'of', 'rantau', 'era', 'bandung', 'pulang', 'kaburajadulu', 'dukung', 'sepenuh', 'hati', 'ayo', 'dunia', 'luas']",the end of rantau era bandung pulang kaburajadulu dukung sepenuh hati ayo dunia luas,the end of the rantau era bandung home kaburajadulu support wholehearted,netral,0.0,1
IHSG &amp; RUPIAH KOMPAK ANJLOK Gimana Gak Anjlok Danantara Dikelola Mantan Koruptor Pertamina Sarang Koruptor Pagar Laut Dikuasai Cukong Pemberantasan TIPIKOR Tidak Maksimal PPN 12% Perusahaan Besar Bangkrut Investor #KaburAjaDulu #IndonesiaGelap https://t.co/qPaRMr3Z1B,ihsg amp rupiah kompak anjlok gimana gak anjlok danantara dikelola mantan koruptor pertamina sarang koruptor pagar laut dikuasai cukong pemberantasan tipikor tidak maksimal ppn perusahaan besar bangkrut investor kaburajadulu indonesiagelap,"['ihsg', 'amp', 'rupiah', 'kompak', 'anjlok', 'gimana', 'gak', 'anjlok', 'danantara', 'dikelola', 'mantan', 'koruptor', 'pertamina', 'sarang', 'koruptor', 'pagar', 'laut', 'dikuasai', 'cukong', 'pemberantasan', 'tipikor', 'tidak', 'maksimal', 'ppn', 'perusahaan', 'besar', 'bangkrut', 'investor', 'kaburajadulu', 'indonesiagelap']","['ihsg', 'rupiah', 'kompak', 'anjlok', 'gimana', 'anjlok', 'danantara', 'dikelola', 'mantan', 'koruptor', 'pertamina', 'sarang', 'koruptor', 'pagar', 'laut', 'dikuasai', 'cukong', 'pemberantasan', 'tipikor', 'maksimal', 'ppn', 'perusahaan', 'bangkrut', 'investor', 'kaburajadulu', 'indonesiagelap']","['ihsg', 'rupiah', 'kompak', 'anjlok', 'anjlok', 'danantara', 'dikelola', 'mantan', 'koruptor', 'pertamina', 'sarang', 'koruptor', 'pagar', 'laut', 'dikuasai', 'cukong', 'pemberantasan', 'tipikor', 'maksimal', 'ppn', 'perusahaan', 'bangkrut', 'investor', 'kaburajadulu', 'indonesiagelap']","['ihsg', 'rupiah', 'kompak', 'anjlok', 'anjlok', 'danantara', 'kelola', 'mantan', 'koruptor', 'pertamina', 'sarang', 'koruptor', 'pagar', 'laut', 'asai', 'cukong', 'berantas', 'tipikor', 'maksimal', 'ppn', 'usaha', 'bangkrut', 'investor', 'kaburajadulu', 'indonesiagelap']",ihsg rupiah kompak anjlok anjlok danantara kelola mantan koruptor pertamina sarang koruptor pagar laut asai cukong berantas tipikor maksimal ppn usaha bangkrut investor kaburajadulu indonesiagelap,ihsg rupiah is compact plummeted and between manages former pertamina corruptors corruptors of sea fence cukong cukong corruption maximum vat vat business bankruptcy investor kaburajadulu indonesiagelap,netral,0.0,1
Kaburlah sebelum kabur itu d̶i̶l̶a̶r̶a̶n̶g̶ dipersulit #KaburAjaDulu https://t.co/WHlEHUADY1,kaburlah sebelum kabur itu dilarang dipersulit kaburajadulu,"['kaburlah', 'sebelum', 'kabur', 'itu', 'dilarang', 'dipersulit', 'kaburajadulu']","['kaburlah', 'kabur', 'dilarang', 'dipersulit', 'kaburajadulu']","['kaburlah', 'kabur', 'dilarang', 'dipersulit', 'kaburajadulu']","['kabur', 'kabur', 'larang', 'sulit', 'kaburajadulu']",kabur kabur larang sulit kaburajadulu,run away.,netral,0.0,1
dia juga nanya rekomendasi app belajar mandarin omg lets goooo #.KaburAjaDulu https://t.co/PtSKUatUdE,dia juga nanya rekomendasi app belajar mandarin omg lets goooo kaburajadulu,"['dia', 'juga', 'nanya', 'rekomendasi', 'app', 'belajar', 'mandarin', 'omg', 'lets', 'goooo', 'kaburajadulu']","['nanya', 'rekomendasi', 'app', 'belajar', 'mandarin', 'omg', 'lets', 'goooo', 'kaburajadulu']","['rekomendasi', 'app', 'belajar', 'mandarin', 'omg', 'lets', 'goooo', 'kaburajadulu']","['rekomendasi', 'app', 'ajar', 'mandarin', 'omg', 'lets', 'goooo', 'kaburajadulu']",rekomendasi app ajar mandarin omg lets goooo kaburajadulu,the learning app recommendation based on the omooo,netral,0.0,1
#KaburAjaDulu https://t.co/q00FxqG7fo,kaburajadulu,['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],kaburajadulu,__kabujadulu__,netral,0.0,1
Pertama kali ambil sick leave sick sejak 3 tahun #KaburAjaDulu maklum TKI jawa suka gak enakan. Struggling to recover body battery HR higher than usual. https://t.co/4Frr9B3YNE,pertama kali ambil sick leave sick sejak tahun kaburajadulu maklum tki jawa suka gak enakan struggling to recover body battery hr higher than usual,"['pertama', 'kali', 'ambil', 'sick', 'leave', 'sick', 'sejak', 'tahun', 'kaburajadulu', 'maklum', 'tki', 'jawa', 'suka', 'gak', 'enakan', 'struggling', 'to', 'recover', 'body', 'battery', 'hr', 'higher', 'than', 'usual']","['ambil', 'sick', 'leave', 'sick', 'tahun', 'kaburajadulu', 'maklum', 'tki', 'jawa', 'suka', 'enakan', 'struggling', 'to', 'recover', 'body', 'battery', 'hr', 'higher', 'than', 'usual']","['ambil', 'sick', 'leave', 'sick', 'tahun', 'kaburajadulu', 'maklum', 'tki', 'jawa', 'suka', 'enakan', 'struggling', 'recover', 'body', 'battery', 'higher', 'usual']","['ambil', 'sick', 'leave', 'sick', 'tahun', 'kaburajadulu', 'maklum', 'tki', 'jawa', 'suka', 'enak', 'struggling', 'recover', 'body', 'battery', 'higher', 'usual']",ambil sick leave sick tahun kaburajadulu maklum tki jawa suka enak struggling recover body battery higher usual,take the sick leave sick kaburajadulu understand that the javanese tki likes to be delicious struggling recover body battery higher usual,negatif,-0.0857142857142857,0
